date,vnd_per_cad,open,high,low,change_pct,year,month
2022-11-25,18508.0,18623.38,18641.99,18485.07,-0.59,2022,11
2022-11-28,18346.79,18488.53,18499.57,18347.4,-0.87,2022,11
2022-11-29,18222.65,18356.92,18452.78,18143.19,-0.68,2022,11
2022-11-30,18365.52,18234.71,18378.76,18145.99,0.78,2022,11
2022-12-01,18238.67,18377.39,18388.36,18193.29,-0.69,2022,12
2022-12-02,18074.52,18246.11,18260.38,18019.45,-0.9,2022,12
2022-12-05,17642.73,18095.06,18203.89,17634.3,-2.39,2022,12
2022-12-06,17560.05,17656.37,17752.81,17547.71,-0.47,2022,12
2022-12-07,17505.31,17577.27,17609.94,17438.17,-0.31,2022,12
2022-12-08,17490.44,17524.9,17554.66,17391.14,-0.08,2022,12
2022-12-09,17247.69,17508.83,17544.31,17218.71,-1.39,2022,12
2022-12-12,17361.98,17289.43,17407.11,17202.3,0.66,2022,12
2022-12-13,17413.12,17380.31,17472.82,17294.99,0.29,2022,12
2022-12-14,17355.37,17433.49,17446.38,17294.73,-0.33,2022,12
2022-12-15,17201.0,17376.38,17405.41,17202.93,-0.89,2022,12
2022-12-16,17206.65,17226.86,17319.2,17211.11,0.03,2022,12
2022-12-19,17370.27,17256.38,17408.7,17241.26,0.95,2022,12
2022-12-20,17431.87,17372.36,17499.73,17349.66,0.35,2022,12
2022-12-21,17409.83,17454.09,17482.34,17392.36,-0.13,2022,12
2022-12-22,17310.09,17432.04,17467.91,17280.44,-0.57,2022,12
2022-12-23,17320.98,17329.81,17394.29,17280.29,0.06,2022,12
2022-12-26,17362.18,17327.9,17406.27,17320.27,0.24,2022,12
2022-12-27,17436.96,17377.7,17502.88,17373.13,0.43,2022,12
2022-12-28,17354.89,17445.3,17527.54,17363.36,-0.47,2022,12
2022-12-29,17416.97,17365.91,17448.47,17360.63,0.36,2022,12
2022-12-30,17420.5,17434.31,17489.92,17378.24,0.02,2022,12
2023-01-02,17390.98,17441.52,17476.34,17397.23,-0.17,2023,1
2023-01-03,17198.13,17412.61,17437.66,17196.41,-1.11,2023,1
2023-01-04,17440.65,17215.28,17458.9,17202.06,1.41,2023,1
